Sr No,Case Type/Case Number/Case Year,Order Date,Order No.
253,Cri.M.A./17/2019,02-01-2019,Copy of Judgment
254,Cri.M.A./51/2019,02-01-2019,Copy of Judgment
255,Cri.M.A./52/2019,02-01-2019,Copy of Judgment
256,Cri.M.A./53/2019,02-01-2019,Copy of Judgment
257,Cri.M.A./54/2019,02-01-2019,Copy of Judgment
258,Cri.M.A./55/2019,02-01-2019,Copy of Judgment
259,Cri.M.A./56/2019,02-01-2019,Copy of Judgment
260,Cri.M.A./57/2019,02-01-2019,Copy of Judgment
261,Cri.M.A./58/2019,02-01-2019,Copy of Judgment
262,Cri.M.A./59/2019,02-01-2019,Copy of Judgment
263,Cri.M.A./60/2019,02-01-2019,Copy of Judgment
264,Cri.M.A./61/2019,02-01-2019,Copy of Judgment
265,Cri.M.A./62/2019,02-01-2019,Copy of Judgment
266,Cri.M.A./63/2019,02-01-2019,Copy of Judgment
267,Cri.M.A./64/2019,02-01-2019,Copy of Judgment
268,Cri.M.A./923/2017,02-01-2019,Order on Exhibit
269,Cri.M.A./2362/2017,02-01-2019,Order on Exhibit
270,Cri.M.A./2456/2018,02-01-2019,Order on Exhibit
271,Cri.M.A./4376/2018,02-01-2019,Order on Exhibit
272,Cri.M.A./4445/2018,02-01-2019,Order on Exhibit
273,Cri.M.A./4446/2018,02-01-2019,Order on Exhibit
274,Cri.M.A./4541/2018,02-01-2019,Order on Exhibit
275,Cri.M.A./4619/2018,02-01-2019,Order on Exhibit
276,Cri.M.A./4620/2018,02-01-2019,Order on Exhibit
277,Cri.M.A./4679/2018,02-01-2019,Order on Exhibit
278,Cri.M.A./4836/2018,02-01-2019,Order on Exhibit
279,Cri.M.A./4837/2018,02-01-2019,Order on Exhibit
280,Cri.M.A./4958/2018,02-01-2019,Order on Exhibit
281,Cri.M.A./4989/2018,02-01-2019,Order on Exhibit
282,Cri.M.A./5052/2018,02-01-2019,Order on Exhibit
283,Cri.M.A./5386/2018,02-01-2019,Order on Exhibit
284,Cri.M.A./5391/2016,02-01-2019,Order on Exhibit
285,Cri.M.A./5522/2018,02-01-2019,Order on Exhibit
286,Cri.M.A./5653/2018,02-01-2019,Copy of Judgment
287,Cri.M.A./401963/2013,02-01-2019,Order on Exhibit
288,Cri.M.A./402506/2015,02-01-2019,Order on Exhibit
289,Cri.M.A./405328/2014,02-01-2019,Order on Exhibit
290,Cri.M.A./405827/2014,02-01-2019,Order on Exhibit
291,R.C.C./104/2018,02-01-2019,Order on Exhibit
292,R.C.C./3806/2018,02-01-2019,Copy of Judgment
293,R.C.C./3833/2018,02-01-2019,Order on Exhibit
294,R.C.C./3960/2018,02-01-2019,Order on Exhibit
295,R.C.C./4038/2018,02-01-2019,Copy of Judgment
296,R.C.C./4040/2018,02-01-2019,Copy of Judgment
297,R.C.C./4708/2018,02-01-2019,Order on Exhibit
298,R.C.C./400088/2010,02-01-2019,Order on Exhibit
299,R.C.C./400201/2007,02-01-2019,Copy of Judgment
300,R.C.C./400218/2010,02-01-2019,Order on Exhibit
301,R.C.C./400233/2010,02-01-2019,Order on Exhibit
302,R.C.C./400236/2011,02-01-2019,Copy of Judgment
303,R.C.C./400732/2011,02-01-2019,Order on Exhibit
304,R.C.C./400887/2015,02-01-2019,Copy of Judgment
305,R.C.C./401058/2011,02-01-2019,Order on Exhibit
306,R.C.C./401361/2011,02-01-2019,Order on Exhibit
307,R.C.C./401602/2011,02-01-2019,Order on Exhibit
308,R.C.C./401938/2011,02-01-2019,Order on Exhibit
309,R.C.C./401977/2012,02-01-2019,Order on Exhibit
310,R.C.C./402468/2011,02-01-2019,Order on Exhibit
311,R.C.C./403496/2008,02-01-2019,Order on Exhibit
312,R.C.C./403736/2015,02-01-2019,Order on Exhibit
313,R.C.C./404064/2011,02-01-2019,Order on Exhibit
314,R.C.C./405012/2011,02-01-2019,Order on Exhibit
315,R.C.C./4700357/2005,02-01-2019,Order on Exhibit
316,R.C.C./4700570/2005,02-01-2019,Order on Exhibit
317,R.C.C./4702869/2005,02-01-2019,Order on Exhibit
318,S.C.C./63/2019,02-01-2019,Copy of Judgment
319,S.C.C./78/2019,02-01-2019,Copy of Judgment
320,S.C.C./80/2019,02-01-2019,Copy of Judgment
321,S.C.C./81/2019,02-01-2019,Copy of Judgment
322,S.C.C./82/2019,02-01-2019,Copy of Judgment
323,S.C.C./1622/2018,02-01-2019,Order on Exhibit
324,S.C.C./2600/2018,02-01-2019,Order on Exhibit
