Sr No,Case Type/Case Number/Case Year,Order Date,Order No.
167,Civil M.A./712/2018,02-01-2019,Order on Exhibit
168,Civil M.A./826/2018,02-01-2019,Order on Exhibit
169,Civil M.A./837/2016,02-01-2019,Order on Exhibit
170,Civil M.A./200791/2011,02-01-2019,Order on Exhibit
171,Marriage Petn./766/2018,02-01-2019,Order on Exhibit
172,Marriage Petn./794/2018,02-01-2019,Order on Exhibit
173,C.Appln./51/2018,02-01-2019,Order on Exhibit
174,C.Appln./52/2018,02-01-2019,Order on Exhibit
175,C.Appln./53/2018,02-01-2019,Order on Exhibit
176,R.C.S./655/2017,02-01-2019,Order on Exhibit
177,R.C.S./839/2017,02-01-2019,Order on Exhibit
178,R.C.S./984/2016,02-01-2019,Order on Exhibit
179,R.C.S./1083/2017,02-01-2019,Evidence
180,R.C.S./1475/2018,02-01-2019,Order on Exhibit
181,R.C.S./1736/2018,02-01-2019,Order on Exhibit
182,R.C.S./1736/2018,02-01-2019,Order on Exhibit
183,R.C.S./200823/2014,02-01-2019,Order on Exhibit
184,R.C.S./200823/2014,02-01-2019,Order on Exhibit
185,R.C.S./200897/2011,02-01-2019,Order on Exhibit
186,R.C.S./200897/2011,02-01-2019,Order on Exhibit
187,R.C.S./200897/2011,02-01-2019,Order on Exhibit
188,R.C.S./200897/2011,02-01-2019,Order on Exhibit
189,R.C.S./200897/2011,02-01-2019,Order on Exhibit
190,R.C.S./201553/2008,02-01-2019,Order on T.I.
191,R.C.S./201612/2005,02-01-2019,Copy of Judgment
192,R.C.S./201671/2008,02-01-2019,Order on Exhibit
193,R.C.S./201690/2006,02-01-2019,Order on Exhibit
194,R.C.S./203935/2012,02-01-2019,Order on Exhibit
195,R.C.S./206081/2012,02-01-2019,Order on Exhibit
196,Spl.C.S./628/2018,02-01-2019,Order on T.I.
197,Spl.C.S./1132/2018,02-01-2019,Order on Exhibit
198,Spl.C.S./200413/2008,02-01-2019,Order on Exhibit
199,Spl.C.S./200474/2013,02-01-2019,Order on Exhibit
200,Spl.C.S./200496/2011,02-01-2019,Order on Exhibit
201,Spl.C.S./200496/2011,02-01-2019,Order on Exhibit
202,Spl.C.S./200503/2015,02-01-2019,Order on Exhibit
203,Spl.C.S./200566/2001,02-01-2019,Order on Exhibit
204,Spl.C.S./200984/2012,02-01-2019,Order on Exhibit
205,Spl.C.S./201038/2007,02-01-2019,Order on Exhibit
206,Spl.C.S./201196/2014,02-01-2019,Order on Exhibit
207,Spl.C.S./201732/2010,02-01-2019,Order on Exhibit
208,Spl.C.S./201732/2010,02-01-2019,Order on Exhibit
209,Spl.C.S./201767/2008,02-01-2019,Order on Exhibit
210,Spl.C.S./201769/2008,02-01-2019,Order on Exhibit
211,Spl .Dkst/200047/2013,02-01-2019,Order on Exhibit
212,Mesne Profit/1/2018,02-01-2019,Order on Exhibit
213,Spl.Sum.Suit/253/2017,02-01-2019,Copy of Judgment
214,Spl.Sum.Suit/200059/2011,02-01-2019,Order on Exhibit
215,Civil M.A./1/2010,01-01-2019,Order on Exhibit
216,Civil M.A./470/2017,01-01-2019,Order on Exhibit
217,Civil M.A./739/2018,01-01-2019,Order on Exhibit
218,Civil M.A./200341/2011,01-01-2019,Order on Exhibit
219,Civil M.A./200726/2002,01-01-2019,Order on Exhibit
220,Marriage Petn./590/2018,01-01-2019,Copy of Judgment
221,Marriage Petn./812/2018,01-01-2019,Copy of Judgment
222,Marriage Petn./823/2018,01-01-2019,Copy of Judgment
223,Marriage Petn./826/2018,01-01-2019,Copy of Judgment
224,Marriage Petn./200084/2014,01-01-2019,Copy of Judgment
225,R.C.S./651/2016,01-01-2019,Order on Exhibit
226,R.C.S./843/2016,01-01-2019,Order on Exhibit
227,R.C.S./1622/2018,01-01-2019,Order on Exhibit
228,R.C.S./1901/2018,01-01-2019,Order on Exhibit
229,R.C.S./200084/2009,01-01-2019,Order on Exhibit
230,R.C.S./200726/2013,01-01-2019,Order on Exhibit
231,R.C.S./200763/2013,01-01-2019,Order on Exhibit
232,R.C.S./201390/2003,01-01-2019,Order on Exhibit
233,R.C.S./201477/2010,01-01-2019,Order on Exhibit
234,R.C.S./202029/2014,01-01-2019,Copy of Judgment
235,Spl.C.S./276/2018,01-01-2019,Order on Exhibit
236,Spl.C.S./693/2016,01-01-2019,Order on Exhibit
237,Spl.C.S./1000/2017,01-01-2019,Order on T.I.
238,Spl.C.S./1034/2016,01-01-2019,Order on Exhibit
239,Spl.C.S./1115/2016,01-01-2019,Order on Exhibit
240,Spl.C.S./1116/2016,01-01-2019,Order on Exhibit
241,Spl.C.S./1764/2018,01-01-2019,Order on Exhibit
242,Spl.C.S./200026/2015,01-01-2019,Order on Exhibit
243,Spl.C.S./200405/2013,01-01-2019,Order on Exhibit
244,Spl.C.S./200562/2014,01-01-2019,Order on Exhibit
245,Spl.C.S./200582/2012,01-01-2019,Order on Exhibit
246,Spl.C.S./200681/2014,01-01-2019,Order on Exhibit
247,Spl.C.S./200842/2011,01-01-2019,Order on Exhibit
248,Spl.C.S./200842/2011,01-01-2019,Order on Exhibit
249,Spl.C.S./200852/2007,01-01-2019,Copy of Judgment
250,Spl.C.S./200912/2012,01-01-2019,Order on Exhibit
251,Spl.C.S./201103/2011,01-01-2019,Order on Exhibit
252,Spl.Sum.Suit/122/2017,01-01-2019,Order on Exhibit
