Sr No,Case Type/Case Number/Case Year,Order Date,Order No.
1,R.C.A./100436/2007,02-01-2019,Order on Exhibit
2,R.C.A./100767/2012,02-01-2019,Order on Exhibit
3,R.C.A./100767/2012,02-01-2019,Order on Exhibit
4,R.C.A./101202/2012,02-01-2019,Copy of Judgment
5,M.C.A./309/2018,02-01-2019,Order on Exhibit
6,Civil M.A./173/2018,02-01-2019,Order on Exhibit
7,Civil M.A./257/2017,02-01-2019,Order on Exhibit
8,Civil Suit/23/2017,02-01-2019,Order on Exhibit
9,Civil Suit/23/2017,02-01-2019,Order on Exhibit
10,Marriage Petn./143/2017,02-01-2019,Order on Exhibit
11,L.A.R./100224/2005,02-01-2019,Order on Exhibit
12,L.A.R./100224/2005,02-01-2019,Order on Exhibit
13,L.A.R./100235/2005,02-01-2019,Order on Exhibit
14,L.A.R./100235/2005,02-01-2019,Order on Exhibit
15,L.A.R./100240/2005,02-01-2019,Order on Exhibit
16,L.A.R./100240/2005,02-01-2019,Order on Exhibit
17,Darkhast/319/2018,02-01-2019,Order on Exhibit
18,Darkhast/2863/2016,02-01-2019,Order on Exhibit
19,Darkhast/2910/2016,02-01-2019,Order on Exhibit
20,Darkhast/100949/2011,02-01-2019,Order on Exhibit
21,Darkhast/100950/2011,02-01-2019,Order on Exhibit
22,Darkhast/100951/2011,02-01-2019,Order on Exhibit
23,M.A.C.P./98/2017,02-01-2019,Order on Exhibit
24,M.A.C.P./167/2017,02-01-2019,Order on Exhibit
25,M.A.C.P./484/2016,02-01-2019,Copy of Judgment
26,M.A.C.P./565/2016,02-01-2019,Copy of Judgment
27,M.A.C.P./100038/2003,02-01-2019,Copy of Judgment
28,M.A.C.P./100233/2014,02-01-2019,Copy of Judgment
29,M.A.C.P./100758/2014,02-01-2019,Copy of Judgment
30,M.A.C.P./101145/2008,02-01-2019,Copy of Judgment
31,Sessions Case/455/2017,02-01-2019,Order on Exhibit
32,Sessions Case/460/2018,02-01-2019,Order on Exhibit
33,Sessions Case/460/2018,02-01-2019,Order on Exhibit
34,Sessions Case/560/2017,02-01-2019,Copy of Judgment
35,Sessions Case/701/2018,02-01-2019,Order on Exhibit
36,Sessions Case/100087/2008,02-01-2019,Copy of Judgment
37,Sessions Case/100225/2015,02-01-2019,Copy of Judgment
38,Sessions Case/100592/2015,02-01-2019,Copy of Judgment
39,Sessions Case/100740/2014,02-01-2019,Copy of Judgment
40,Cri.Appeal/471/2018,02-01-2019,Copy of Judgment
41,Cri.Appeal/492/2018,02-01-2019,Copy of Judgment
42,Cri.Appeal/100105/2009,02-01-2019,Copy of Judgment
43,Cri.Appeal/100333/2015,02-01-2019,Order on Exhibit
44,Cri.Rev.App./68/2018,02-01-2019,Copy of Judgment
45,Cri.Rev.App./214/2018,02-01-2019,Copy of Judgment
46,Cri.Rev.App./229/2018,02-01-2019,Copy of Judgment
47,Cri.Rev.App./496/2018,02-01-2019,Copy of Judgment
48,Cri.Rev.App./496/2018,02-01-2019,Copy of Judgment
49,Cri.M.A./478/2018,02-01-2019,Order on Exhibit
50,Cri.Bail Appln./22/2019,02-01-2019,Order on Exhibit
51,Cri.Bail Appln./37/2019,02-01-2019,Order on Exhibit
52,Cri.Bail Appln./3236/2018,02-01-2019,Order on Exhibit
53,Cri.Bail Appln./4026/2018,02-01-2019,Order on Exhibit
54,Cri.Bail Appln./4208/2018,02-01-2019,Order on Exhibit
55,Cri.Bail Appln./4655/2018,02-01-2019,Order on Exhibit
56,Cri.Bail Appln./4656/2018,02-01-2019,Order on Exhibit
57,Cri.Bail Appln./4800/2018,02-01-2019,Order on Exhibit
58,Cri.Bail Appln./5177/2018,02-01-2019,Order on Exhibit
59,Cri.Bail Appln./5273/2018,02-01-2019,Copy of Judgment
60,Cri.Bail Appln./5276/2018,02-01-2019,Copy of Judgment
61,Cri.Bail Appln./5343/2018,02-01-2019,Order on Exhibit
62,Cri.Bail Appln./5371/2018,02-01-2019,Order on Exhibit
63,Cri.Bail Appln./5375/2018,02-01-2019,Order on Exhibit
64,Cri.Bail Appln./5380/2018,02-01-2019,Order on Exhibit
65,Cri.Bail Appln./5391/2018,02-01-2019,Order on Exhibit
