Sr No,Case Type/Case Number/Case Year,Order Date,Order No.
460,Civil Suit/209/2016,02-01-2019,Evidence
461,Civil Suit/235/2018,02-01-2019,Order on Exhibit
462,Civil Suit/242/2018,02-01-2019,Order on Exhibit
463,Civil Suit/285/2016,02-01-2019,Order on Exhibit
464,Civil Suit/331/2017,02-01-2019,Order on Exhibit
465,Civil Suit/300120/2014,02-01-2019,Order on Exhibit
466,Civil Suit/300238/2015,02-01-2019,Order on Exhibit
467,Civil Suit/300245/2015,02-01-2019,Evidence
468,Darkhast/300141/2015,02-01-2019,Order on Exhibit
469,Darkhast/300141/2015,02-01-2019,Order on Exhibit
470,Civil Suit/15/2017,01-01-2019,Copy of Judgment
471,Civil Suit/25/2016,01-01-2019,Order on Exhibit
472,Civil Suit/180/2017,01-01-2019,Copy of Judgment
473,Civil Suit/374/2018,01-01-2019,Order on Exhibit
474,Civil Suit/374/2018,01-01-2019,Order on Exhibit
475,Civil Suit/375/2018,01-01-2019,Order on Exhibit
476,Civil Suit/375/2018,01-01-2019,Order on Exhibit
477,Civil Suit/376/2018,01-01-2019,Order on Exhibit
478,Civil Suit/376/2018,01-01-2019,Order on Exhibit
479,Civil Suit/403/2018,01-01-2019,Order on Exhibit
480,Civil Suit/404/2018,01-01-2019,Order on Exhibit
481,Civil Suit/404/2018,01-01-2019,Order on Exhibit
482,Civil Suit/405/2018,01-01-2019,Order on Exhibit
483,Darkhast/60/2018,01-01-2019,Copy of Judgment
